Ma SV,Ma HP,Time slot
4449,KH0391,0
4450,KH0391,0
4451,KH0391,0
4452,KH0391,0
4453,KH0391,0
4454,KH0391,0
4457,KH0391,0
4458,KH0391,0
4459,KH0391,0
4460,KH0391,0
4461,KH0391,0
4462,KH0391,0
4463,KH0391,0
4464,KH0391,0
4465,KH0391,0
4468,KH0391,0
4469,KH0391,0
4472,KH0391,0
4473,KH0391,0
4474,KH0391,0
4476,KH0391,0
4478,KH0391,0
4480,KH0391,0
4481,KH0391,0
4482,KH0391,0
4483,KH0391,0
4484,KH0391,0
4485,KH0391,0
4488,KH0391,0
4489,KH0391,0
4490,KH0391,0
4491,KH0391,0
4492,KH0391,0
4495,KH0391,0
4496,KH0391,0
4498,KH0391,0
4499,KH0391,0
4500,KH0391,0
4501,KH0391,0
4503,KH0391,0
4504,KH0391,0
4505,KH0391,0
4506,KH0391,0
4510,KH0391,0
4511,KH0391,0
4514,KH0391,0
4517,KH0391,0
4518,KH0391,0
4519,KH0391,0
4520,KH0391,0
4521,KH0391,0
4524,KH0391,0
4525,KH0391,0
4526,KH0391,0
4527,KH0391,0
4528,KH0391,0
4531,KH0391,0
4532,KH0391,0
4533,KH0391,0
4534,KH0391,0
4537,KH0391,0
4538,KH0391,0
4540,KH0391,0
4541,KH0391,0
4542,KH0391,0
4543,KH0391,0
4545,KH0391,0
4546,KH0391,0
4547,KH0391,0
4551,KH0391,0
4552,KH0391,0
4566,KH0391,0
4572,KH0391,0
4577,KH0391,0
4580,KH0391,0
4595,KH0391,0
4599,KH0391,0
4632,KH0391,0
4645,KH0391,0
4650,KH0391,0
4665,KH0391,0
4694,KH0391,0
4728,KH0391,0
4739,KH0391,0
4751,KH0391,0
4758,KH0391,0
4760,KH0391,0
4774,KH0391,0
4785,KH0391,0
4804,KH0391,0
4829,KH0391,0
4835,KH0391,0
4855,KH0391,0
4864,KH0391,0
4865,KH0169,0
4874,KH0169,0
4880,KH0454,0
4901,KH0391,0
4922,KH0391,0
4939,KH0391,0
4972,KH0391,0
4976,KH0391,0
5012,KH0391,0
5041,KH0391,0
5053,KH0391,0
5058,KH0391,0
5087,KH0391,0
5092,KH0391,0
5094,KH0391,0
5102,KH0391,0
5114,KH0391,0
5118,KH0391,0
5142,KH0391,0
5147,KH0391,0
5150,KH0391,0
5152,KH0391,0
5175,KH0391,0
5178,KH0391,0
5206,KH0391,0
5229,KH0391,0
5238,KH0391,0
5246,KH0391,0
5258,KH0391,0
5268,KH0391,0
5312,KH0391,0
5313,KH0391,0
5319,KH0391,0
5330,KH0391,0
5337,KH0391,0
5348,KH0391,0
1,KH0081,1
3,KH0410,1
7,KH0074,1
9,KH0080,1
10,KH0081,1
21,KH0081,1
25,KH0456,1
27,KH0389,1
35,KH0410,1
38,KH0051,1
41,KH0410,1
50,KH0081,1
53,KH0081,1
56,KH0410,1
59,KH0265,1
60,KH0410,1
62,KH0364,1
65,KH0132,1
66,KH0132,1
74,KH0081,1
81,KH0364,1
83,KH0179,1
89,KH0364,1
92,KH0364,1
100,KH0031,1
102,KH0051,1
105,KH0389,1
110,KH0389,1
117,KH0132,1
121,KH0051,1
123,KH0389,1
124,KH0410,1
126,KH0364,1
127,KH0184,1
128,KH0410,1
131,KH0051,1
136,KH0364,1
139,KH0081,1
144,KH0364,1
145,KH0364,1
152,KH0184,1
168,KH0184,1
172,KH0364,1
178,KH0127,1
181,KH0172,1
188,KH0051,1
189,KH0172,1
193,KH0172,1
195,KH0146,1
198,KH0172,1
201,KH0184,1
202,KH0146,1
209,KH0352,1
211,KH0389,1
219,KH0389,1
223,KH0179,1
224,KH0081,1
226,KH0278,1
228,KH0108,1
230,KH0108,1
231,KH0410,1
241,KH0080,1
244,KH0389,1
246,KH0184,1
248,KH0031,1
250,KH0184,1
257,KH0127,1
260,KH0265,1
263,KH0364,1
265,KH0282,1
266,KH0031,1
269,KH0265,1
273,KH0179,1
275,KH0456,1
276,KH0364,1
277,KH0218,1
296,KH0184,1
304,KH0172,1
307,KH0127,1
311,KH0179,1
313,KH0031,1
318,KH0127,1
321,KH0127,1
322,KH0218,1
325,KH0146,1
332,KH0081,1
335,KH0364,1
337,KH0265,1
341,KH0179,1
350,KH0179,1
358,KH0184,1
359,KH0172,1
360,KH0179,1
361,KH0265,1
369,KH0172,1
378,KH0184,1
380,KH0179,1
388,KH0172,1
389,KH0218,1
392,KH0081,1
394,KH0282,1
420,KH0172,1
422,KH0179,1
423,KH0179,1
427,KH0364,1
431,KH0456,1
432,KH0389,1
433,KH0179,1
437,KH0172,1
438,KH0172,1
440,KH0265,1
441,KH0127,1
445,KH0265,1
449,KH0108,1
450,KH0410,1
457,KH0127,1
458,KH0146,1
469,KH0265,1
472,KH0127,1
483,KH0127,1
488,KH0031,1
491,KH0179,1
506,KH0179,1
507,KH0265,1
508,KH0352,1
509,KH0172,1
510,KH0127,1
512,KH0389,1
517,KH0146,1
525,KH0179,1
531,KH0184,1
533,KH0299,1
535,KH0179,1
537,KH0108,1
541,KH0184,1
545,KH0352,1
547,KH0127,1
550,KH0184,1
551,KH0172,1
559,KH0218,1
565,KH0179,1
567,KH0179,1
571,KH0184,1
572,KH0184,1
576,KH0265,1
578,KH0184,1
581,KH0031,1
588,KH0179,1
589,KH0179,1
591,KH0265,1
594,KH0031,1
600,KH0031,1
609,KH0172,1
611,KH0265,1
623,KH0265,1
624,KH0172,1
628,KH0184,1
634,KH0179,1
637,KH0184,1
644,KH0172,1
653,KH0218,1
671,KH0108,1
675,KH0179,1
677,KH0184,1
689,KH0127,1
690,KH0184,1
697,KH0179,1
699,KH0184,1
701,KH0127,1
707,KH0127,1
709,KH0184,1
713,KH0389,1
715,KH0179,1
722,KH0347,1
723,KH0184,1
724,KH0184,1
728,KH0146,1
740,KH0179,1
749,KH0265,1
750,KH0265,1
754,KH0389,1
767,KH0179,1
771,KH0172,1
777,KH0184,1
783,KH0172,1
784,KH0172,1
785,KH0184,1
788,KH0352,1
791,KH0347,1
795,KH0172,1
799,KH0179,1
805,KH0179,1
807,KH0160,1
808,KH0282,1
815,KH0278,1
818,KH0282,1
819,KH0031,1
825,KH0146,1
826,KH0282,1
836,KH0051,1
837,KH0031,1
839,KH0051,1
840,KH0265,1
841,KH0051,1
843,KH0283,1
847,KH0051,1
851,KH0265,1
856,KH0146,1
860,KH0265,1
863,KH0265,1
873,KH0299,1
876,KH0179,1
879,KH0172,1
881,KH0179,1
882,KH0172,1
886,KH0278,1
887,KH0172,1
888,KH0184,1
891,KH0278,1
895,KH0172,1
896,KH0146,1
900,KH0172,1
903,KH0184,1
909,KH0172,1
916,KH0352,1
923,KH0179,1
924,KH0265,1
928,KH0172,1
932,KH0051,1
935,KH0184,1
937,KH0218,1
940,KH0184,1
948,KH0172,1
955,KH0218,1
956,KH0172,1
959,KH0172,1
963,KH0184,1
965,KH0184,1
969,KH0278,1
979,KH0172,1
982,KH0172,1
992,KH0179,1
999,KH0172,1
1002,KH0179,1
1014,KH0031,1
1022,KH0218,1
1026,KH0172,1
1027,KH0179,1
1030,KH0265,1
1034,KH0184,1
1039,KH0127,1
1040,KH0179,1
1041,KH0352,1
1044,KH0184,1
1046,KH0184,1
1048,KH0299,1
1066,KH0172,1
1076,KH0184,1
1077,KH0179,1
1078,KH0127,1
1079,KH0172,1
1081,KH0172,1
1082,KH0179,1
1087,KH0172,1
1105,KH0265,1
1114,KH0127,1
1140,KH0352,1
1143,KH0278,1
1146,KH0127,1
1150,KH0179,1
1151,KH0172,1
1155,KH0172,1
1156,KH0299,1
1157,KH0031,1
1162,KH0172,1
1164,KH0172,1
1169,KH0172,1
1182,KH0172,1
1187,KH0179,1
